"","module","bin_name","module_name","module_class","module_category","module_subcategory","module_definition","stepwise_module_completeness","stepwise_module_is_complete","pathwise_module_completeness","pathwise_module_is_complete","proportion_unique_enzymes_present","enzymes_unique_to_module","unique_enzymes_hit_counts","enzyme_hits_in_module","gene_caller_ids_in_module","warnings","pathwise_copy_number","stepwise_copy_number","per_step_copy_numbers","group"
"11","M00378","ND35_MAG_00002","F420 biosynthesis, archaea","Pathway modules","Energy metabolism","Methane metabolism","K11780+K11781 K14941 K11212 K12234",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0,0","susceptible"
"12","M00531","ND35_MAG_00002","Assimilatory nitrate reduction, nitrate => ammonia","Pathway modules","Energy metabolism","Nitrogen metabolism","(K00367,K10534,K00372-K00360) (K00366,K17877)",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","susceptible"
"13","M00595","ND35_MAG_00002","Thiosulfate oxidation by SOX complex, thiosulfate => sulfate","Pathway modules","Energy metabolism","Sulfur metabolism","K17222+K17223+K17224-K17225-K22622+K17226+K17227",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0","susceptible"
"14","M00151","ND35_MAG_00002","Cytochrome bc1 complex respiratory unit","Pathway modules","Energy metabolism","ATP synthesis","((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889",1,"True",1,"True",NA,"No enzymes unique to module",NA,"K00411,K00412,K00413","507055,507056,507057","K00413 is present in multiple modules: M00151/M00152,K00411 is present in multiple modules: M00151/M00152,K00412 is present in multiple modules: M00151/M00152",1,1,"1","susceptible"
"15","M00086","ND35_MAG_00002","beta-Oxidation, acyl-CoA synthesis","Pathway modules","Lipid metabolism","Fatty acid metabolism","K01897,K15013",1,"True",1,"True",1,"K01897","1","K01897","507616","None",1,1,"1","susceptible"
"16","M00546","ND35_MAG_00002","Purine degradation, xanthine => urea","Pathway modules","Nucleotide metabolism","Purine metabolism","(K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483) (K00365,K16838,K16839,K22879) (K13484,K07127 (K13485,K16838,K16840)) (K01466,K16842) K01477",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0,0,0","susceptible"
"17","M00020","ND35_MAG_00002","Serine biosynthesis, glycerate-3P => serine","Pathway modules","Amino acid metabolism","Serine and threonine metabolism","K00058 K00831 (K01079,K02203,K22305,K25528)",1,"True",1,"True",1,"K00058,K01079","1,1","K00058,K00831,K01079","507878,507955,508268","K00831 is present in multiple modules: M00020/M00124",1,1,"1,1,1","susceptible"
"18","M00338","ND35_MAG_00002","Cysteine biosynthesis, homocysteine + serine => cysteine","Pathway modules","Amino acid metabolism","Cysteine and methionine metabolism","(K01697,K10150) K01758",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","susceptible"
"19","M00035","ND35_MAG_00002","Methionine degradation","Pathway modules","Amino acid metabolism","Cysteine and methionine metabolism","K00789 (K00558,K17398,K17399) K01251 (K01697,K10150)",0.5,"False",0.5,"False",1,"K01251","1","K00789,K01251","507528,508227","K00789 is present in multiple modules: M00609/M00034/M00035/M00368",0,0,"1,0,1,0","susceptible"
"20","M00019","ND35_MAG_00002","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","K01652+(K01653,K11258) K00053 K01687 K00826",1,"True",1,"True",NA,"No enzymes unique to module",NA,"K00053,K00826,K01652,K01652,K01653,K01687","508723,507196,508721,507782,508722,507183","K00826 is present in multiple modules: M00019/M00570/M00036/M00119,K01687 is present in multiple modules: M00019/M00570,K01653 is present in multiple modules: M00019/M00570,K00053 is present in multiple modules: M00019/M00570,K01652 is present in multiple modules: M00019/M00570",1,1,"1,1,1,1","susceptible"
"21","M00570","ND35_MAG_00002","Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","(K17989,K01754) K01652+(K01653,K11258) K00053 K01687 K00826",1,"True",1,"True",1,"K01754","2","K00053,K00826,K01652,K01652,K01653,K01687,K01754,K01754","508723,507196,508721,507782,508722,507183,506735,508704","K00826 is present in multiple modules: M00019/M00570/M00036/M00119,K01687 is present in multiple modules: M00019/M00570,K01653 is present in multiple modules: M00019/M00570,K00053 is present in multiple modules: M00019/M00570,K01652 is present in multiple modules: M00019/M00570",1,1,"2,1,1,1,1","susceptible"
"22","M00432","ND35_MAG_00002","Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","K01649 (K01702,K01703+K01704) K00052",1,"True",1,"True",1,"K01649","1","K00052,K01649,K01703,K01704","507378,508726,507376,507377","K01703 is present in multiple modules: M00535/M00432,K01704 is present in multiple modules: M00535/M00432,K00052 is present in multiple modules: M00535/M00432",1,1,"1,1,1","susceptible"
"23","M00844","ND35_MAG_00002","Arginine biosynthesis, ornithine => arginine","Pathway modules","Amino acid metabolism","Arginine and proline metabolism","K00611 K01940 (K01755,K14681)",1,"True",1,"True",NA,"No enzymes unique to module",NA,"K00611,K01755,K01940","507039,507249,506982","K01940 is present in multiple modules: M00844/M00845/M00029,K01755 is present in multiple modules: M00844/M00845/M00029,K00611 is present in multiple modules: M00844/M00029",1,1,"1,1,1","susceptible"
"24","M00015","ND35_MAG_00002","Proline biosynthesis, glutamate => proline","Pathway modules","Amino acid metabolism","Arginine and proline metabolism","((K00931 K00147),K12657) K00286",1,"True",1,"True",1,"K00147,K00286,K00931","1,1,1","K00147,K00286,K00931","506835,506729,508241","None",1,1,"1,1","susceptible"
"25","M00026","ND35_MAG_00002","Histidine biosynthesis, PRPP => histidine","Pathway modules","Amino acid metabolism","Histidine metabolism","(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)",0.833333333333333,"True",0.888888888888889,"True",1,"K00013,K00765,K00817,K01496,K01523,K01693,K01814,K02500,K02501,K02502","1,1,1,1,1,1,1,1,1,1","K00013,K00765,K00817,K01496,K01523,K01693,K01814,K02500,K02501,K02502","508440,508439,508441,508669,508668,508442,508444,508445,508443,508220","None",1,1,"1,1,1,1,1,1","susceptible"
"26","M00045","ND35_MAG_00002","Histidine degradation, histidine => N-formiminoglutamate => glutamate","Pathway modules","Amino acid metabolism","Histidine metabolism","K01745 K01712 K01468 (K01479,K00603,K13990,(K05603 K01458))",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0,0","susceptible"
"27","M00024","ND35_MAG_00002","Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine","Pathway modules","Amino acid metabolism","Aromatic amino acid metabolism","((K01850,K04092,K14187,K04093,K04516,K06208,K06209) (K01713,K04518,K05359),K14170) (K00832,K00838)",1,"True",1,"True",1,"K04518","1","K00832,K00832,K04518,K14170","507943,507551,507956,507956","K14170 is present in multiple modules: M00024/M00025/M00040,K00832 is present in multiple modules: M00034/M00024/M00025/M00040/M00044",1,1,"1,2","susceptible"
"28","M00025","ND35_MAG_00002","Tyrosine biosynthesis, chorismate => HPP => tyrosine","Pathway modules","Amino acid metabolism","Aromatic amino acid metabolism","(((K01850,K04092,K14170,K04093,K04516,K06208,K06209) (K04517,K00211)),K14187) (K00832,K00838)",1,"True",1,"True",1,"K04517","1","K00832,K00832,K04517,K14170","507943,507551,507957,507956","K14170 is present in multiple modules: M00024/M00025/M00040,K00832 is present in multiple modules: M00034/M00024/M00025/M00040/M00044",1,1,"1,2","susceptible"
"29","M00912","ND35_MAG_00002","NAD biosynthesis, tryptophan => quinolinate => NAD","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K00767 (K00969,K06210) (K01916,K01950)",0.125,"False",0.125,"False",NA,"No enzymes unique to module",NA,"K00767","508263","K00767 is present in multiple modules: M00115/M00912",0,0,"0,0,0,0,0,1,0,0","susceptible"
"30","M00913","ND35_MAG_00002","Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","K00606 K00077 K13367 K00128 K01918",0.4,"False",0.4,"False",NA,"No enzymes unique to module",NA,"K00606,K01918,K01918","507128,507127,508676","K01918 is present in multiple modules: M00119/M00913,K00606 is present in multiple modules: M00119/M00913/M00914",0,0,"1,0,0,0,2","susceptible"
"31","M00572","ND35_MAG_00002","Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","K02169 (K00647,K09458) K00059 K02372 K00208 (K02170,K09789,K19560,K19561)",0.833333333333333,"True",0.833333333333333,"True",1,"K02169","1","K00059,K00059,K00208,K02169,K02372,K09458","506798,507164,507932,506767,507081,506800","K00208 is present in multiple modules: M00083/M00572,K00059 is present in multiple modules: M00083/M00874/M00572,K02372 is present in multiple modules: M00083/M00572,K09458 is present in multiple modules: M00083/M00873/M00874/M00572",1,0,"1,1,2,1,1,0","susceptible"
"32","M00932","ND35_MAG_00002","Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","(K02552 K02551 K08680 K02549,K14759) (K01911,K14760) K01661 (K19222,K12073) K23094 K17872 K23095",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0,0,0,0,0","susceptible"
"33","M00793","ND35_MAG_00002","dTDP-L-rhamnose biosynthesis","Pathway modules","Biosynthesis of terpenoids and polyketides","Polyketide sugar unit biosynthesis","K00973 K01710 (K01790 K00067,K23987)",1,"True",1,"True",1,"K00067,K00973,K01710,K01790","1,1,1,1","K00067,K00973,K01710,K01790","508500,508271,508501,508272","None",1,1,"1,1,1","susceptible"
"34","M00548","ND35_MAG_00002","Benzene degradation, benzene => catechol","Pathway modules","Xenobiotics biodegradation","Aromatics degradation","K16249+K16243+K16244+K16242+K16245+K16246",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0","susceptible"
"35","M00615","ND35_MAG_00002","Nitrate assimilation","Signature modules","Module set","Metabolic capacity","(K02575,K15576+K15577+K15578-K15579) M00531",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","susceptible"
"36","M00001","ND35_MAG_00003","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism","(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)",1,"True",1,"True",NA,"No enzymes unique to module",NA,"K00134,K00850,K00873,K00927,K01689,K01803,K11645,K15633,K15916,K25026","509798,509132,509224,509797,510199,509768,509214,508938,509644,509585","K15633 is present in multiple modules: M00001/M00002/M00003,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K15916 is present in multiple modules: M00001/M00004/M00909,K25026 is present in multiple modules: M00001/M00549/M00909,K11645 is present in multiple modules: M00001/M00003,K01803 is present in multiple modules: M00001/M00002/M00003,K00850 is present in multiple modules: M00001/M00345,K00873 is present in multiple modules: M00001/M00002,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612",1,1,"1,1,1,1,1,1,1,1,1","susceptible"
"37","M00307","ND35_MAG_00003","Pyruvate oxidation, pyruvate => acetyl-CoA","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism","((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737",1,"True",1,"True",1,"K00161,K00162,K00627","1,1,1","K00161,K00162,K00382,K00627","510294,509502,510555,509776","K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00036/M00032",1,1,"1","susceptible"
"38","M00010","ND35_MAG_00003","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism","(K01647,K05942) (K01681,K01682) (K00031,K00030)",0.666666666666667,"False",0.666666666666667,"False",NA,"No enzymes unique to module",NA,"K00031,K00031,K01647","509763,510071,510329","K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614,K01647 is present in multiple modules: M00009/M00010/M00012/M00740",0,0,"1,0,2","susceptible"
"39","M00909","ND35_MAG_00003","UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism","(K00845,K25026) (K01810,K13810,K15916) K00820 K03431 K04042",0.6,"False",0.6,"False",NA,"No enzymes unique to module",NA,"K00820,K15916,K25026","509220,509644,509585","K00820 is present in multiple modules: M00892/M00909,K25026 is present in multiple modules: M00001/M00549/M00909,K15916 is present in multiple modules: M00001/M00004/M00909",0,0,"1,1,1,0,0","susceptible"
"40","M00012","ND35_MAG_00003","Glyoxylate cycle","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism","K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)",0.4,"False",0.4,"False",NA,"No enzymes unique to module",NA,"K00024,K01647","509237,510329","K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00168/M00173/M00374/M00620/M00346/M00614,K01647 is present in multiple modules: M00009/M00010/M00012/M00740",0,0,"1,0,0,0,1","susceptible"
"41","M00741","ND35_MAG_00003","Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism","(K01965+K01966,K11263+(K18472,K19312+K22568),K01964+K15036+K15037) K05606 (K01847,K01848+K01849)",0.666666666666667,"False",0.833333333333333,"True",NA,"No enzymes unique to module",NA,"K01848,K01849,K01966,K05606","509676,510231,509307,509912","K01966 is present in multiple modules: M00373/M00741/M00613,K01849 is present in multiple modules: M00741/M00376/M00375/M00613,K01848 is present in multiple modules: M00741/M00376/M00375/M00613,K05606 is present in multiple modules: M00373/M00741/M00376/M00375/M00613",0,1,"1,1,1","susceptible"
"42","M00165","ND35_MAG_00003","Reductive pentose phosphate cycle (Calvin cycle)","Pathway modules","Energy metabolism","Carbon fixation","K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)",0.545454545454545,"False",0.545454545454545,"False",NA,"No enzymes unique to module",NA,"K00134,K00615,K00615,K00927,K01808,K03841","509798,509374,510396,509797,510382,508996","K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00615 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K01808 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K03841 is present in multiple modules: M00003/M00165/M00167/M00344/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612",0,0,"0,0,1,1,0,1,2,0,0,2,1","susceptible"
"43","M00166","ND35_MAG_00003","Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","Pathway modules","Energy metabolism","Carbon fixation","K00855 (K01601-K01602) K00927 (K05298,K00150,K00134)",0.5,"False",0.5,"False",NA,"No enzymes unique to module",NA,"K00134,K00927","509798,509797","K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612",0,0,"0,0,1,1","susceptible"
"44","M00168","ND35_MAG_00003","CAM (Crassulacean acid metabolism), dark","Pathway modules","Energy metabolism","Carbon fixation","K01595 (K00025,K00026,K00024)",0.5,"False",0.5,"False",NA,"No enzymes unique to module",NA,"K00024","509237","K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00168/M00173/M00374/M00620/M00346/M00614",0,0,"0,1","susceptible"
"45","M00579","ND35_MAG_00003","Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate","Pathway modules","Energy metabolism","Carbon fixation","(K00625,K13788,K15024) K00925",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","susceptible"
"46","M00378","ND35_MAG_00003","F420 biosynthesis, archaea","Pathway modules","Energy metabolism","Methane metabolism","K11780+K11781 K14941 K11212 K12234",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0,0","susceptible"
"47","M00531","ND35_MAG_00003","Assimilatory nitrate reduction, nitrate => ammonia","Pathway modules","Energy metabolism","Nitrogen metabolism","(K00367,K10534,K00372-K00360) (K00366,K17877)",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","susceptible"
"48","M00595","ND35_MAG_00003","Thiosulfate oxidation by SOX complex, thiosulfate => sulfate","Pathway modules","Energy metabolism","Sulfur metabolism","K17222+K17223+K17224-K17225-K22622+K17226+K17227",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0","susceptible"
"49","M00151","ND35_MAG_00003","Cytochrome bc1 complex respiratory unit","Pathway modules","Energy metabolism","ATP synthesis","((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0","susceptible"
"50","M00086","ND35_MAG_00003","beta-Oxidation, acyl-CoA synthesis","Pathway modules","Lipid metabolism","Fatty acid metabolism","K01897,K15013",1,"True",1,"True",1,"K01897","1","K01897","509638","None",1,1,"1","susceptible"
"51","M00546","ND35_MAG_00003","Purine degradation, xanthine => urea","Pathway modules","Nucleotide metabolism","Purine metabolism","(K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483) (K00365,K16838,K16839,K22879) (K13484,K07127 (K13485,K16838,K16840)) (K01466,K16842) K01477",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0,0,0","susceptible"
"52","M00020","ND35_MAG_00003","Serine biosynthesis, glycerate-3P => serine","Pathway modules","Amino acid metabolism","Serine and threonine metabolism","K00058 K00831 (K01079,K02203,K22305,K25528)",0.666666666666667,"False",0.666666666666667,"False",1,"K00058","1","K00058,K00831","509034,509969","K00831 is present in multiple modules: M00020/M00124",0,0,"1,1,0","susceptible"
"53","M00338","ND35_MAG_00003","Cysteine biosynthesis, homocysteine + serine => cysteine","Pathway modules","Amino acid metabolism","Cysteine and methionine metabolism","(K01697,K10150) K01758",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","susceptible"
"54","M00035","ND35_MAG_00003","Methionine degradation","Pathway modules","Amino acid metabolism","Cysteine and methionine metabolism","K00789 (K00558,K17398,K17399) K01251 (K01697,K10150)",0.5,"False",0.5,"False",1,"K01251","1","K00789,K01251","509219,508911","K00789 is present in multiple modules: M00609/M00034/M00035/M00368",0,0,"1,0,1,0","susceptible"
"55","M00019","ND35_MAG_00003","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","K01652+(K01653,K11258) K00053 K01687 K00826",0.25,"False",0.25,"False",NA,"No enzymes unique to module",NA,"K00826","509855","K00826 is present in multiple modules: M00019/M00570/M00036/M00119",0,0,"0,0,0,1","susceptible"
"56","M00570","ND35_MAG_00003","Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","(K17989,K01754) K01652+(K01653,K11258) K00053 K01687 K00826",0.2,"False",0.2,"False",NA,"No enzymes unique to module",NA,"K00826","509855","K00826 is present in multiple modules: M00019/M00570/M00036/M00119",0,0,"0,0,0,0,1","susceptible"
"57","M00432","ND35_MAG_00003","Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","K01649 (K01702,K01703+K01704) K00052",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0","susceptible"
"58","M00844","ND35_MAG_00003","Arginine biosynthesis, ornithine => arginine","Pathway modules","Amino acid metabolism","Arginine and proline metabolism","K00611 K01940 (K01755,K14681)",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0","susceptible"
"59","M00015","ND35_MAG_00003","Proline biosynthesis, glutamate => proline","Pathway modules","Amino acid metabolism","Arginine and proline metabolism","((K00931 K00147),K12657) K00286",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","susceptible"
