"","bin_name","group","function.","count","total_cogs","proportion"
"51","ND35_MAG_00005","susceptible","Cell cycle control, cell division, chromosome partitioning",46,2005,0.0229426433915212
"52","ND35_MAG_00005","susceptible","Cell motility",27,2005,0.0134663341645885
"53","ND35_MAG_00005","susceptible","Cell wall/membrane/envelope biogenesis",262,2005,0.130673316708229
"54","ND35_MAG_00005","susceptible","Coenzyme transport and metabolism",108,2005,0.0538653366583541
"55","ND35_MAG_00005","susceptible","Cytoskeleton",3,2005,0.00149625935162095
"56","ND35_MAG_00005","susceptible","Defense mechanisms",44,2005,0.0219451371571072
"57","ND35_MAG_00005","susceptible","Energy production and conversion",115,2005,0.057356608478803
"58","ND35_MAG_00005","susceptible","Extracellular structures",13,2005,0.00648379052369077
"59","ND35_MAG_00005","susceptible","Function unknown",79,2005,0.0394014962593516
"60","ND35_MAG_00005","susceptible","General function prediction only",155,2005,0.0773067331670823
"61","ND35_MAG_00005","susceptible","Inorganic ion transport and metabolism",84,2005,0.0418952618453865
"62","ND35_MAG_00005","susceptible","Intracellular trafficking, secretion, and vesicular transport",35,2005,0.0174563591022444
"63","ND35_MAG_00005","susceptible","Lipid transport and metabolism",99,2005,0.0493765586034913
"64","ND35_MAG_00005","susceptible","Mobilome: prophages, transposons",2,2005,0.000997506234413965
"65","ND35_MAG_00005","susceptible","Nucleotide transport and metabolism",72,2005,0.0359102244389027
"66","ND35_MAG_00005","susceptible","Posttranslational modification, protein turnover, chaperones",145,2005,0.0723192019950125
"67","ND35_MAG_00005","susceptible","Replication, recombination and repair",96,2005,0.0478802992518703
"68","ND35_MAG_00005","susceptible","Secondary metabolites biosynthesis, transport and catabolism",34,2005,0.0169576059850374
"69","ND35_MAG_00005","susceptible","Signal transduction mechanisms",86,2005,0.0428927680798005
"70","ND35_MAG_00005","susceptible","Transcription",94,2005,0.0468827930174564
"71","ND35_MAG_00005","susceptible","Translation, ribosomal structure and biogenesis",203,2005,0.101246882793017
"72","ND35_MAG_00006","susceptible","Amino acid transport and metabolism",225,2266,0.0992939099735216
"73","ND35_MAG_00006","susceptible","Carbohydrate transport and metabolism",77,2266,0.0339805825242718
"74","ND35_MAG_00006","susceptible","Cell cycle control, cell division, chromosome partitioning",37,2266,0.0163283318623124
"75","ND35_MAG_00006","susceptible","Cell motility",56,2266,0.0247131509267432
"76","ND35_MAG_00006","susceptible","Cell wall/membrane/envelope biogenesis",157,2266,0.0692850838481906
"77","ND35_MAG_00006","susceptible","Coenzyme transport and metabolism",158,2266,0.0697263901147396
"78","ND35_MAG_00006","susceptible","Cytoskeleton",3,2266,0.00132391879964696
"79","ND35_MAG_00006","susceptible","Defense mechanisms",53,2266,0.0233892321270962
"80","ND35_MAG_00006","susceptible","Energy production and conversion",173,2266,0.0763459841129744
"81","ND35_MAG_00006","susceptible","Extracellular structures",28,2266,0.0123565754633716
"82","ND35_MAG_00006","susceptible","Function unknown",88,2266,0.0388349514563107
"83","ND35_MAG_00006","susceptible","General function prediction only",161,2266,0.0710503089143866
"84","ND35_MAG_00006","susceptible","Inorganic ion transport and metabolism",101,2266,0.0445719329214475
"85","ND35_MAG_00006","susceptible","Intracellular trafficking, secretion, and vesicular transport",60,2266,0.0264783759929391
"86","ND35_MAG_00006","susceptible","Lipid transport and metabolism",172,2266,0.0759046778464254
"87","ND35_MAG_00006","susceptible","Mobilome: prophages, transposons",4,2266,0.00176522506619594
"88","ND35_MAG_00006","susceptible","Nucleotide transport and metabolism",60,2266,0.0264783759929391
"89","ND35_MAG_00006","susceptible","Posttranslational modification, protein turnover, chaperones",134,2266,0.059135039717564
"90","ND35_MAG_00006","susceptible","RNA processing and modification",1,2266,0.000441306266548985
"91","ND35_MAG_00006","susceptible","Replication, recombination and repair",97,2266,0.0428067078552515
"92","ND35_MAG_00006","susceptible","Secondary metabolites biosynthesis, transport and catabolism",58,2266,0.0255957634598411
"93","ND35_MAG_00006","susceptible","Signal transduction mechanisms",79,2266,0.0348631950573698
"94","ND35_MAG_00006","susceptible","Transcription",79,2266,0.0348631950573698
"95","ND35_MAG_00006","susceptible","Translation, ribosomal structure and biogenesis",205,2266,0.0904677846425419
"96","ND35_MAG_00007","susceptible","Amino acid transport and metabolism",241,3317,0.0726560144709074
"97","ND35_MAG_00007","susceptible","Carbohydrate transport and metabolism",304,3317,0.0916490804944227
"98","ND35_MAG_00007","susceptible","Cell cycle control, cell division, chromosome partitioning",52,3317,0.0156768164003618
"99","ND35_MAG_00007","susceptible","Cell motility",42,3317,0.0126620440156768
"100","ND35_MAG_00007","susceptible","Cell wall/membrane/envelope biogenesis",287,3317,0.0865239674404582
"101","ND35_MAG_00007","susceptible","Chromatin structure and dynamics",1,3317,0.000301477238468496
"102","ND35_MAG_00007","susceptible","Coenzyme transport and metabolism",151,3317,0.0455230630087428
"103","ND35_MAG_00007","susceptible","Cytoskeleton",4,3317,0.00120590895387398
"104","ND35_MAG_00007","susceptible","Defense mechanisms",87,3317,0.0262285197467591
"105","ND35_MAG_00007","susceptible","Energy production and conversion",208,3317,0.0627072656014471
"106","ND35_MAG_00007","susceptible","Extracellular structures",37,3317,0.0111546578233343
"107","ND35_MAG_00007","susceptible","Function unknown",117,3317,0.035272836900814
"108","ND35_MAG_00007","susceptible","General function prediction only",308,3317,0.0928549894482966
"109","ND35_MAG_00007","susceptible","Inorganic ion transport and metabolism",354,3317,0.106722942417847
"110","ND35_MAG_00007","susceptible","Intracellular trafficking, secretion, and vesicular transport",71,3317,0.0214048839312632
"111","ND35_MAG_00007","susceptible","Lipid transport and metabolism",128,3317,0.0385890865239674
"112","ND35_MAG_00007","susceptible","Mobilome: prophages, transposons",21,3317,0.00633102200783841
"113","ND35_MAG_00007","susceptible","Nucleotide transport and metabolism",87,3317,0.0262285197467591
"114","ND35_MAG_00007","susceptible","Posttranslational modification, protein turnover, chaperones",160,3317,0.0482363581549593
"115","ND35_MAG_00007","susceptible","Replication, recombination and repair",107,3317,0.032258064516129
"116","ND35_MAG_00007","susceptible","Secondary metabolites biosynthesis, transport and catabolism",49,3317,0.0147723846849563
"117","ND35_MAG_00007","susceptible","Signal transduction mechanisms",164,3317,0.0494422671088333
"118","ND35_MAG_00007","susceptible","Transcription",127,3317,0.0382876092854989
"119","ND35_MAG_00007","susceptible","Translation, ribosomal structure and biogenesis",210,3317,0.0633102200783841
"120","ND35_MAG_00008","susceptible","Amino acid transport and metabolism",179,1968,0.0909552845528455
"121","ND35_MAG_00008","susceptible","Carbohydrate transport and metabolism",141,1968,0.0716463414634146
"122","ND35_MAG_00008","susceptible","Cell cycle control, cell division, chromosome partitioning",39,1968,0.0198170731707317
"123","ND35_MAG_00008","susceptible","Cell motility",19,1968,0.00965447154471545
"124","ND35_MAG_00008","susceptible","Cell wall/membrane/envelope biogenesis",194,1968,0.0985772357723577
"125","ND35_MAG_00008","susceptible","Coenzyme transport and metabolism",114,1968,0.0579268292682927
"126","ND35_MAG_00008","susceptible","Cytoskeleton",3,1968,0.00152439024390244
"127","ND35_MAG_00008","susceptible","Defense mechanisms",56,1968,0.0284552845528455
"128","ND35_MAG_00008","susceptible","Energy production and conversion",135,1968,0.0685975609756098
"129","ND35_MAG_00008","susceptible","Extracellular structures",7,1968,0.00355691056910569
"130","ND35_MAG_00008","susceptible","Function unknown",69,1968,0.0350609756097561
"131","ND35_MAG_00008","susceptible","General function prediction only",158,1968,0.0802845528455285
"132","ND35_MAG_00008","susceptible","Inorganic ion transport and metabolism",90,1968,0.0457317073170732
"133","ND35_MAG_00008","susceptible","Intracellular trafficking, secretion, and vesicular transport",25,1968,0.0127032520325203
"134","ND35_MAG_00008","susceptible","Lipid transport and metabolism",107,1968,0.054369918699187
"135","ND35_MAG_00008","susceptible","Mobilome: prophages, transposons",6,1968,0.00304878048780488
"136","ND35_MAG_00008","susceptible","Nucleotide transport and metabolism",70,1968,0.0355691056910569
"137","ND35_MAG_00008","susceptible","Posttranslational modification, protein turnover, chaperones",120,1968,0.0609756097560976
"138","ND35_MAG_00008","susceptible","Replication, recombination and repair",90,1968,0.0457317073170732
"139","ND35_MAG_00008","susceptible","Secondary metabolites biosynthesis, transport and catabolism",27,1968,0.013719512195122
"140","ND35_MAG_00008","susceptible","Signal transduction mechanisms",60,1968,0.0304878048780488
"141","ND35_MAG_00008","susceptible","Transcription",75,1968,0.038109756097561
"142","ND35_MAG_00008","susceptible","Translation, ribosomal structure and biogenesis",184,1968,0.0934959349593496
"143","ND35_MAG_00009","susceptible","Amino acid transport and metabolism",120,1814,0.0661521499448732
"144","ND35_MAG_00009","susceptible","Carbohydrate transport and metabolism",85,1814,0.0468577728776185
"145","ND35_MAG_00009","susceptible","Cell cycle control, cell division, chromosome partitioning",35,1814,0.0192943770672547
"146","ND35_MAG_00009","susceptible","Cell motility",16,1814,0.00882028665931643
"147","ND35_MAG_00009","susceptible","Cell wall/membrane/envelope biogenesis",221,1814,0.121830209481808
"148","ND35_MAG_00009","susceptible","Coenzyme transport and metabolism",108,1814,0.0595369349503859
"149","ND35_MAG_00009","susceptible","Cytoskeleton",4,1814,0.00220507166482911
"150","ND35_MAG_00009","susceptible","Defense mechanisms",39,1814,0.0214994487320838
"151","ND35_MAG_00009","susceptible","Energy production and conversion",110,1814,0.0606394707828004
"152","ND35_MAG_00009","susceptible","Extracellular structures",5,1814,0.00275633958103638
"153","ND35_MAG_00009","susceptible","Function unknown",82,1814,0.0452039691289967
"154","ND35_MAG_00009","susceptible","General function prediction only",148,1814,0.081587651598677
"155","ND35_MAG_00009","susceptible","Inorganic ion transport and metabolism",81,1814,0.0446527012127894
"156","ND35_MAG_00009","susceptible","Intracellular trafficking, secretion, and vesicular transport",33,1814,0.0181918412348401
"157","ND35_MAG_00009","susceptible","Lipid transport and metabolism",98,1814,0.0540242557883131
"158","ND35_MAG_00009","susceptible","Mobilome: prophages, transposons",8,1814,0.00441014332965821
"159","ND35_MAG_00009","susceptible","Nucleotide transport and metabolism",58,1814,0.031973539140022
"160","ND35_MAG_00009","susceptible","Posttranslational modification, protein turnover, chaperones",123,1814,0.067805953693495
"161","ND35_MAG_00009","susceptible","Replication, recombination and repair",93,1814,0.0512679162072767
"162","ND35_MAG_00009","susceptible","Secondary metabolites biosynthesis, transport and catabolism",27,1814,0.0148842337375965
"163","ND35_MAG_00009","susceptible","Signal transduction mechanisms",56,1814,0.0308710033076075
"164","ND35_MAG_00009","susceptible","Transcription",74,1814,0.0407938257993385
"165","ND35_MAG_00009","susceptible","Translation, ribosomal structure and biogenesis",190,1814,0.104740904079383
"166","ND35_MAG_00010","susceptible","Amino acid transport and metabolism",180,2259,0.0796812749003984
"167","ND35_MAG_00010","susceptible","Carbohydrate transport and metabolism",93,2259,0.0411686586985392
"168","ND35_MAG_00010","susceptible","Cell cycle control, cell division, chromosome partitioning",33,2259,0.0146082337317397
"169","ND35_MAG_00010","susceptible","Cell motility",103,2259,0.0455953961930058
"170","ND35_MAG_00010","susceptible","Cell wall/membrane/envelope biogenesis",148,2259,0.0655157149181054
"171","ND35_MAG_00010","susceptible","Coenzyme transport and metabolism",155,2259,0.068614431164232
"172","ND35_MAG_00010","susceptible","Cytoskeleton",3,2259,0.00132802124833997
"173","ND35_MAG_00010","susceptible","Defense mechanisms",56,2259,0.0247897299690128
"174","ND35_MAG_00010","susceptible","Energy production and conversion",165,2259,0.0730411686586985
"175","ND35_MAG_00010","susceptible","Extracellular structures",27,2259,0.0119521912350598
"176","ND35_MAG_00010","susceptible","Function unknown",82,2259,0.0362992474546259
"177","ND35_MAG_00010","susceptible","General function prediction only",155,2259,0.068614431164232
"178","ND35_MAG_00010","susceptible","Inorganic ion transport and metabolism",116,2259,0.0513501549358123
"179","ND35_MAG_00010","susceptible","Intracellular trafficking, secretion, and vesicular transport",61,2259,0.0270030987162461
"180","ND35_MAG_00010","susceptible","Lipid transport and metabolism",151,2259,0.0668437361664453
"181","ND35_MAG_00010","susceptible","Mobilome: prophages, transposons",1,2259,0.000442673749446658
"182","ND35_MAG_00010","susceptible","Nucleotide transport and metabolism",55,2259,0.0243470562195662
"183","ND35_MAG_00010","susceptible","Posttranslational modification, protein turnover, chaperones",141,2259,0.0624169986719788
"184","ND35_MAG_00010","susceptible","RNA processing and modification",1,2259,0.000442673749446658
"185","ND35_MAG_00010","susceptible","Replication, recombination and repair",90,2259,0.0398406374501992
"186","ND35_MAG_00010","susceptible","Secondary metabolites biosynthesis, transport and catabolism",55,2259,0.0243470562195662
"187","ND35_MAG_00010","susceptible","Signal transduction mechanisms",95,2259,0.0420540061974325
"188","ND35_MAG_00010","susceptible","Transcription",94,2259,0.0416113324479858
"189","ND35_MAG_00010","susceptible","Translation, ribosomal structure and biogenesis",199,2259,0.0880920761398849
"190","ND35_MAG_00012","susceptible","Amino acid transport and metabolism",101,1539,0.0656270305393112
"191","ND35_MAG_00012","susceptible","Carbohydrate transport and metabolism",64,1539,0.041585445094217
"192","ND35_MAG_00012","susceptible","Cell cycle control, cell division, chromosome partitioning",26,1539,0.0168940870695257
"193","ND35_MAG_00012","susceptible","Cell motility",18,1539,0.0116959064327485
"194","ND35_MAG_00012","susceptible","Cell wall/membrane/envelope biogenesis",166,1539,0.107862248213125
"195","ND35_MAG_00012","susceptible","Coenzyme transport and metabolism",99,1539,0.064327485380117
"196","ND35_MAG_00012","susceptible","Cytoskeleton",3,1539,0.00194931773879142
"197","ND35_MAG_00012","susceptible","Defense mechanisms",32,1539,0.0207927225471085
"198","ND35_MAG_00012","susceptible","Energy production and conversion",99,1539,0.064327485380117
"199","ND35_MAG_00012","susceptible","Extracellular structures",7,1539,0.00454840805717999
"200","ND35_MAG_00012","susceptible","Function unknown",64,1539,0.041585445094217
"201","ND35_MAG_00012","susceptible","General function prediction only",100,1539,0.0649772579597141
"202","ND35_MAG_00012","susceptible","Inorganic ion transport and metabolism",74,1539,0.0480831708901884
"203","ND35_MAG_00012","susceptible","Intracellular trafficking, secretion, and vesicular transport",24,1539,0.0155945419103314
"204","ND35_MAG_00012","susceptible","Lipid transport and metabolism",91,1539,0.0591293047433398
"205","ND35_MAG_00012","susceptible","Nucleotide transport and metabolism",66,1539,0.0428849902534113
"206","ND35_MAG_00012","susceptible","Posttranslational modification, protein turnover, chaperones",105,1539,0.0682261208576998
"207","ND35_MAG_00012","susceptible","Replication, recombination and repair",86,1539,0.0558804418453541
"208","ND35_MAG_00012","susceptible","Secondary metabolites biosynthesis, transport and catabolism",19,1539,0.0123456790123457
"209","ND35_MAG_00012","susceptible","Signal transduction mechanisms",45,1539,0.0292397660818713
"210","ND35_MAG_00012","susceptible","Transcription",63,1539,0.0409356725146199
"211","ND35_MAG_00012","susceptible","Translation, ribosomal structure and biogenesis",187,1539,0.121507472384665
"212","ND35_MAG_00014","susceptible","Amino acid transport and metabolism",366,3298,0.110976349302608
"213","ND35_MAG_00014","susceptible","Carbohydrate transport and metabolism",187,3298,0.056701030927835
"214","ND35_MAG_00014","susceptible","Cell cycle control, cell division, chromosome partitioning",29,3298,0.00879320800485143
"215","ND35_MAG_00014","susceptible","Cell motility",74,3298,0.0224378411158278
"216","ND35_MAG_00014","susceptible","Cell wall/membrane/envelope biogenesis",211,3298,0.0639781685870224
"217","ND35_MAG_00014","susceptible","Chromatin structure and dynamics",1,3298,0.000303214069132808
"218","ND35_MAG_00014","susceptible","Coenzyme transport and metabolism",191,3298,0.0579138872043663
"219","ND35_MAG_00014","susceptible","Cytoskeleton",2,3298,0.000606428138265616
"220","ND35_MAG_00014","susceptible","Defense mechanisms",80,3298,0.0242571255306246
"221","ND35_MAG_00014","susceptible","Energy production and conversion",281,3298,0.085203153426319
"222","ND35_MAG_00014","susceptible","Extracellular structures",26,3298,0.007883565797453
"223","ND35_MAG_00014","susceptible","Function unknown",78,3298,0.023650697392359
"224","ND35_MAG_00014","susceptible","General function prediction only",252,3298,0.0764099454214676
"225","ND35_MAG_00014","susceptible","Inorganic ion transport and metabolism",179,3298,0.0542753183747726
"226","ND35_MAG_00014","susceptible","Intracellular trafficking, secretion, and vesicular transport",68,3298,0.0206185567010309
"227","ND35_MAG_00014","susceptible","Lipid transport and metabolism",282,3298,0.0855063674954518
"228","ND35_MAG_00014","susceptible","Mobilome: prophages, transposons",22,3298,0.00667070952092177
"229","ND35_MAG_00014","susceptible","Nucleotide transport and metabolism",82,3298,0.0248635536688902
"230","ND35_MAG_00014","susceptible","Posttranslational modification, protein turnover, chaperones",159,3298,0.0482110369921164
"231","ND35_MAG_00014","susceptible","RNA processing and modification",2,3298,0.000606428138265616
"232","ND35_MAG_00014","susceptible","Replication, recombination and repair",116,3298,0.0351728320194057
"233","ND35_MAG_00014","susceptible","Secondary metabolites biosynthesis, transport and catabolism",115,3298,0.0348696179502729
"234","ND35_MAG_00014","susceptible","Signal transduction mechanisms",143,3298,0.0433596118859915
"235","ND35_MAG_00014","susceptible","Transcription",123,3298,0.0372953305033354
"236","ND35_MAG_00014","susceptible","Translation, ribosomal structure and biogenesis",229,3298,0.069436021831413
"237","ND35_MAG_00015","susceptible","Amino acid transport and metabolism",122,1774,0.068771138669673
"238","ND35_MAG_00015","susceptible","Carbohydrate transport and metabolism",70,1774,0.0394588500563698
"239","ND35_MAG_00015","susceptible","Cell cycle control, cell division, chromosome partitioning",40,1774,0.0225479143179256
"240","ND35_MAG_00015","susceptible","Cell motility",14,1774,0.00789177001127396
"241","ND35_MAG_00015","susceptible","Cell wall/membrane/envelope biogenesis",226,1774,0.12739571589628
"242","ND35_MAG_00015","susceptible","Coenzyme transport and metabolism",111,1774,0.0625704622322435
"243","ND35_MAG_00015","susceptible","Cytoskeleton",3,1774,0.00169109357384442
"244","ND35_MAG_00015","susceptible","Defense mechanisms",34,1774,0.0191657271702368
"245","ND35_MAG_00015","susceptible","Energy production and conversion",104,1774,0.0586245772266065
"246","ND35_MAG_00015","susceptible","Extracellular structures",6,1774,0.00338218714768884
"247","ND35_MAG_00015","susceptible","Function unknown",82,1774,0.0462232243517475
"248","ND35_MAG_00015","susceptible","General function prediction only",120,1774,0.0676437429537768
"249","ND35_MAG_00015","susceptible","Inorganic ion transport and metabolism",84,1774,0.0473506200676437
"250","ND35_MAG_00015","susceptible","Intracellular trafficking, secretion, and vesicular transport",37,1774,0.0208568207440812
"251","ND35_MAG_00015","susceptible","Lipid transport and metabolism",92,1774,0.0518602029312289
"252","ND35_MAG_00015","susceptible","Mobilome: prophages, transposons",3,1774,0.00169109357384442
"253","ND35_MAG_00015","susceptible","Nucleotide transport and metabolism",70,1774,0.0394588500563698
"254","ND35_MAG_00015","susceptible","Posttranslational modification, protein turnover, chaperones",118,1774,0.0665163472378805
"255","ND35_MAG_00015","susceptible","Replication, recombination and repair",91,1774,0.0512965050732807
"256","ND35_MAG_00015","susceptible","Secondary metabolites biosynthesis, transport and catabolism",18,1774,0.0101465614430665
"257","ND35_MAG_00015","susceptible","Signal transduction mechanisms",63,1774,0.0355129650507328
"258","ND35_MAG_00015","susceptible","Transcription",74,1774,0.0417136414881623
"259","ND35_MAG_00015","susceptible","Translation, ribosomal structure and biogenesis",192,1774,0.108229988726043
"260","ND35_MAG_00016","susceptible","Amino acid transport and metabolism",180,2252,0.0799289520426288
"261","ND35_MAG_00016","susceptible","Carbohydrate transport and metabolism",220,2252,0.0976909413854352
"262","ND35_MAG_00016","susceptible","Cell cycle control, cell division, chromosome partitioning",42,2252,0.0186500888099467
"263","ND35_MAG_00016","susceptible","Cell motility",18,2252,0.00799289520426288
"264","ND35_MAG_00016","susceptible","Cell wall/membrane/envelope biogenesis",241,2252,0.107015985790409
"265","ND35_MAG_00016","susceptible","Coenzyme transport and metabolism",142,2252,0.0630550621669627
"266","ND35_MAG_00016","susceptible","Cytoskeleton",2,2252,0.00088809946714032
"267","ND35_MAG_00016","susceptible","Defense mechanisms",49,2252,0.0217584369449378
"268","ND35_MAG_00016","susceptible","Energy production and conversion",154,2252,0.0683836589698046
"269","ND35_MAG_00016","susceptible","Extracellular structures",10,2252,0.0044404973357016
"270","ND35_MAG_00016","susceptible","Function unknown",63,2252,0.0279751332149201
"271","ND35_MAG_00016","susceptible","General function prediction only",208,2252,0.0923623445825933
"272","ND35_MAG_00016","susceptible","Inorganic ion transport and metabolism",121,2252,0.0537300177619893
"273","ND35_MAG_00016","susceptible","Intracellular trafficking, secretion, and vesicular transport",29,2252,0.0128774422735346
"274","ND35_MAG_00016","susceptible","Lipid transport and metabolism",116,2252,0.0515097690941385
"275","ND35_MAG_00016","susceptible","Mobilome: prophages, transposons",5,2252,0.0022202486678508
"276","ND35_MAG_00016","susceptible","Nucleotide transport and metabolism",59,2252,0.0261989342806394
"277","ND35_MAG_00016","susceptible","Posttranslational modification, protein turnover, chaperones",111,2252,0.0492895204262877
"278","ND35_MAG_00016","susceptible","Replication, recombination and repair",84,2252,0.0373001776198934
"279","ND35_MAG_00016","susceptible","Secondary metabolites biosynthesis, transport and catabolism",42,2252,0.0186500888099467
"280","ND35_MAG_00016","susceptible","Signal transduction mechanisms",77,2252,0.0341918294849023
"281","ND35_MAG_00016","susceptible","Transcription",99,2252,0.0439609236234458
"282","ND35_MAG_00016","susceptible","Translation, ribosomal structure and biogenesis",180,2252,0.0799289520426288
"283","ND35_MAG_00020","susceptible","Amino acid transport and metabolism",241,3498,0.0688965122927387
"284","ND35_MAG_00020","susceptible","Carbohydrate transport and metabolism",308,3498,0.0880503144654088
"285","ND35_MAG_00020","susceptible","Cell cycle control, cell division, chromosome partitioning",52,3498,0.0148656375071469
"286","ND35_MAG_00020","susceptible","Cell motility",41,3498,0.0117209834190966
"287","ND35_MAG_00020","susceptible","Cell wall/membrane/envelope biogenesis",282,3498,0.0806174957118353
"288","ND35_MAG_00020","susceptible","Chromatin structure and dynamics",1,3498,0.00028587764436821
"289","ND35_MAG_00020","susceptible","Coenzyme transport and metabolism",161,3498,0.0460263007432819
"290","ND35_MAG_00020","susceptible","Cytoskeleton",5,3498,0.00142938822184105
"291","ND35_MAG_00020","susceptible","Defense mechanisms",89,3498,0.0254431103487707
"292","ND35_MAG_00020","susceptible","Energy production and conversion",231,3498,0.0660377358490566
"293","ND35_MAG_00020","susceptible","Extracellular structures",36,3498,0.0102915951972556
"294","ND35_MAG_00020","susceptible","Function unknown",124,3498,0.0354488279016581
"295","ND35_MAG_00020","susceptible","General function prediction only",343,3498,0.0980560320182962
"296","ND35_MAG_00020","susceptible","Inorganic ion transport and metabolism",397,3498,0.11349342481418
"297","ND35_MAG_00020","susceptible","Intracellular trafficking, secretion, and vesicular transport",74,3498,0.0211549456832476
"298","ND35_MAG_00020","susceptible","Lipid transport and metabolism",131,3498,0.0374499714122356
"299","ND35_MAG_00020","susceptible","Mobilome: prophages, transposons",7,3498,0.00200114351057747
"300","ND35_MAG_00020","susceptible","Nucleotide transport and metabolism",82,3498,0.0234419668381933
"301","ND35_MAG_00020","susceptible","Posttranslational modification, protein turnover, chaperones",186,3498,0.0531732418524871
"302","ND35_MAG_00020","susceptible","Replication, recombination and repair",112,3498,0.0320182961692396
"303","ND35_MAG_00020","susceptible","Secondary metabolites biosynthesis, transport and catabolism",44,3498,0.0125786163522013
